Date,NumCases
23/Mar/2020,51
24/Mar/2020,63
25/Mar/2020,72
26/Mar/2020,77
27/Mar/2020,82
28/Mar/2020,89
29/Mar/2020,93
30/Mar/2020,99
31/Mar/2020,105
01/Apr/2020,107
02/Apr/2020,105
03/Apr/2020,100
04/Apr/2020,101
05/Apr/2020,98
06/Apr/2020,95
07/Apr/2020,102
08/Apr/2020,89
09/Apr/2020,92
10/Apr/2020,87
11/Apr/2020,90
12/Apr/2020,86
13/Apr/2020,88
14/Apr/2020,83
15/Apr/2020,77
16/Apr/2020,72
17/Apr/2020,69
18/Apr/2020,70
19/Apr/2020,73
20/Apr/2020,69
21/Apr/2020,67
22/Apr/2020,62
23/Apr/2020,60
24/Apr/2020,55
25/Apr/2020,55
26/Apr/2020,53
27/Apr/2020,46
28/Apr/2020,49
29/Apr/2020,46
30/Apr/2020,46
01/May/2020,43
02/May/2020,43
03/May/2020,40
04/May/2020,32
05/May/2020,25
06/May/2020,24
07/May/2020,20
08/May/2020,20
09/May/2020,21
10/May/2020,21
11/May/2020,18
12/May/2020,18
13/May/2020,16
14/May/2020,19
15/May/2020,16
16/May/2020,14
17/May/2020,15
18/May/2020,16
19/May/2020,18
20/May/2020,17
21/May/2020,14
22/May/2020,15
23/May/2020,15
24/May/2020,13
25/May/2020,12
26/May/2020,9
27/May/2020,7
28/May/2020,7
29/May/2020,7
30/May/2020,8
31/May/2020,7
01/Jun/2020,10
02/Jun/2020,7
03/Jun/2020,5
04/Jun/2020,4
05/Jun/2020,4
06/Jun/2020,3
07/Jun/2020,3
08/Jun/2020,3
09/Jun/2020,3
10/Jun/2020,3
11/Jun/2020,2
12/Jun/2020,3
13/Jun/2020,4
14/Jun/2020,2
15/Jun/2020,2
16/Jun/2020,3
17/Jun/2020,3
18/Jun/2020,3
19/Jun/2020,3
20/Jun/2020,3
21/Jun/2020,4
22/Jun/2020,4
23/Jun/2020,4
24/Jun/2020,4
25/Jun/2020,3
26/Jun/2020,4
27/Jun/2020,4
28/Jun/2020,4
29/Jun/2020,4
30/Jun/2020,4
01/Jul/2020,3
02/Jul/2020,2
03/Jul/2020,1
04/Jul/2020,2
05/Jul/2020,2
06/Jul/2020,2
07/Jul/2020,1
08/Jul/2020,1
09/Jul/2020,1
10/Jul/2020,1
11/Jul/2020,1
12/Jul/2020,1
13/Jul/2020,0
14/Jul/2020,1
15/Jul/2020,1
16/Jul/2020,1
17/Jul/2020,1
18/Jul/2020,1
19/Jul/2020,1
20/Jul/2020,2
21/Jul/2020,2
22/Jul/2020,1
23/Jul/2020,1
24/Jul/2020,1
25/Jul/2020,1
26/Jul/2020,1
27/Jul/2020,1
28/Jul/2020,1
