Date,NumCases
31/Jan/2020,0
01/Feb/2020,0
02/Feb/2020,0
03/Feb/2020,0
04/Feb/2020,0
05/Feb/2020,0
06/Feb/2020,0
07/Feb/2020,0
08/Feb/2020,0
09/Feb/2020,0
10/Feb/2020,0
11/Feb/2020,0
12/Feb/2020,0
13/Feb/2020,0
14/Feb/2020,0
15/Feb/2020,0
16/Feb/2020,0
17/Feb/2020,0
18/Feb/2020,0
19/Feb/2020,0
20/Feb/2020,0
21/Feb/2020,0
22/Feb/2020,0
23/Feb/2020,0
24/Feb/2020,0
25/Feb/2020,0
26/Feb/2020,0
27/Feb/2020,0
28/Feb/2020,0
29/Feb/2020,0
01/Mar/2020,0
02/Mar/2020,0
03/Mar/2020,1
04/Mar/2020,2
05/Mar/2020,3
06/Mar/2020,3
07/Mar/2020,3
08/Mar/2020,5
09/Mar/2020,5
10/Mar/2020,5
11/Mar/2020,5
12/Mar/2020,5
13/Mar/2020,6
14/Mar/2020,7
15/Mar/2020,8
16/Mar/2020,9
17/Mar/2020,10
18/Mar/2020,12
19/Mar/2020,13
20/Mar/2020,15
21/Mar/2020,15
22/Mar/2020,18
23/Mar/2020,24
24/Mar/2020,28
25/Mar/2020,36
26/Mar/2020,47
27/Mar/2020,67
28/Mar/2020,81
29/Mar/2020,94
30/Mar/2020,125
31/Mar/2020,151
01/Apr/2020,179
02/Apr/2020,203
03/Apr/2020,257
04/Apr/2020,289
05/Apr/2020,326
06/Apr/2020,381
07/Apr/2020,418
08/Apr/2020,484
09/Apr/2020,522
10/Apr/2020,563
11/Apr/2020,589
12/Apr/2020,607
13/Apr/2020,660
14/Apr/2020,714
15/Apr/2020,778
16/Apr/2020,842
17/Apr/2020,918
18/Apr/2020,956
19/Apr/2020,973
20/Apr/2020,1038
21/Apr/2020,1089
22/Apr/2020,1146
23/Apr/2020,1192
24/Apr/2020,1246
25/Apr/2020,1263
26/Apr/2020,1267
27/Apr/2020,1317
28/Apr/2020,1356
29/Apr/2020,1391
30/Apr/2020,1443
01/May/2020,1464
02/May/2020,1482
03/May/2020,1493
04/May/2020,1544
05/May/2020,1574
06/May/2020,1619
07/May/2020,1645
08/May/2020,1688
09/May/2020,1703
10/May/2020,1713
11/May/2020,1737
12/May/2020,1761
13/May/2020,1797
14/May/2020,1831
15/May/2020,1848
16/May/2020,1857
17/May/2020,1863
18/May/2020,1891
19/May/2020,1917
20/May/2020,1938
21/May/2020,1958
22/May/2020,1985
23/May/2020,1996
24/May/2020,1999
25/May/2020,2011
26/May/2020,2028
27/May/2020,2036
28/May/2020,2048
29/May/2020,2060
30/May/2020,2067
31/May/2020,2070
01/Jun/2020,2079
02/Jun/2020,2090
03/Jun/2020,2103
04/Jun/2020,2111
05/Jun/2020,2118
06/Jun/2020,2119
07/Jun/2020,2123
08/Jun/2020,2132
09/Jun/2020,2137
10/Jun/2020,2141
11/Jun/2020,2153
12/Jun/2020,2156
13/Jun/2020,2159
14/Jun/2020,2163
15/Jun/2020,2166
16/Jun/2020,2174
17/Jun/2020,2182
18/Jun/2020,2186
19/Jun/2020,2190
20/Jun/2020,2193
21/Jun/2020,2194
22/Jun/2020,2199
23/Jun/2020,2210
24/Jun/2020,2211
25/Jun/2020,2214
26/Jun/2020,2218
27/Jun/2020,2221
28/Jun/2020,2222
29/Jun/2020,2227
30/Jun/2020,2231
01/Jul/2020,2238
02/Jul/2020,2242
03/Jul/2020,2245
04/Jul/2020,2245
05/Jul/2020,2245
06/Jul/2020,2245
07/Jul/2020,2245
08/Jul/2020,2246
09/Jul/2020,2247
10/Jul/2020,2251
11/Jul/2020,2252
12/Jul/2020,2252
13/Jul/2020,2255
14/Jul/2020,2272
15/Jul/2020,2275
16/Jul/2020,2275
17/Jul/2020,2278
18/Jul/2020,2280
19/Jul/2020,2280
20/Jul/2020,2282
21/Jul/2020,2285
22/Jul/2020,2285
23/Jul/2020,2296
24/Jul/2020,2316
25/Jul/2020,2321
26/Jul/2020,2324
27/Jul/2020,2331
28/Jul/2020,2336
29/Jul/2020,2357
30/Jul/2020,2366
31/Jul/2020,2375
01/Aug/2020,2375
02/Aug/2020,2375
03/Aug/2020,2376
04/Aug/2020,2381
05/Aug/2020,2394
06/Aug/2020,2400
07/Aug/2020,2407
08/Aug/2020,2414
09/Aug/2020,2416
10/Aug/2020,2437
11/Aug/2020,2467
12/Aug/2020,2480
