Date,NumCases
23/Mar/2020,228
24/Mar/2020,257
25/Mar/2020,289
26/Mar/2020,315
27/Mar/2020,342
28/Mar/2020,363
29/Mar/2020,395
30/Mar/2020,384
31/Mar/2020,337
01/Apr/2020,341
02/Apr/2020,332
03/Apr/2020,338
04/Apr/2020,344
05/Apr/2020,368
06/Apr/2020,377
07/Apr/2020,373
08/Apr/2020,370
09/Apr/2020,376
10/Apr/2020,355
11/Apr/2020,336
12/Apr/2020,356
13/Apr/2020,340
14/Apr/2020,337
15/Apr/2020,316
16/Apr/2020,313
17/Apr/2020,270
18/Apr/2020,256
19/Apr/2020,235
20/Apr/2020,237
21/Apr/2020,232
22/Apr/2020,194
23/Apr/2020,180
24/Apr/2020,164
25/Apr/2020,159
26/Apr/2020,160
27/Apr/2020,151
28/Apr/2020,148
29/Apr/2020,142
30/Apr/2020,135
01/May/2020,124
02/May/2020,111
03/May/2020,115
04/May/2020,125
05/May/2020,129
06/May/2020,126
07/May/2020,115
08/May/2020,105
09/May/2020,103
10/May/2020,96
11/May/2020,89
12/May/2020,87
13/May/2020,82
14/May/2020,78
15/May/2020,71
16/May/2020,66
17/May/2020,68
18/May/2020,68
19/May/2020,58
20/May/2020,54
21/May/2020,55
22/May/2020,48
23/May/2020,52
24/May/2020,46
25/May/2020,54
26/May/2020,56
27/May/2020,53
28/May/2020,49
29/May/2020,44
30/May/2020,45
31/May/2020,49
01/Jun/2020,43
02/Jun/2020,38
03/Jun/2020,41
04/Jun/2020,38
05/Jun/2020,34
06/Jun/2020,33
07/Jun/2020,35
08/Jun/2020,32
09/Jun/2020,30
10/Jun/2020,26
11/Jun/2020,26
12/Jun/2020,26
13/Jun/2020,28
14/Jun/2020,21
15/Jun/2020,25
16/Jun/2020,31
17/Jun/2020,23
18/Jun/2020,22
19/Jun/2020,25
20/Jun/2020,25
21/Jun/2020,29
22/Jun/2020,21
23/Jun/2020,20
24/Jun/2020,24
25/Jun/2020,15
26/Jun/2020,16
27/Jun/2020,15
28/Jun/2020,15
29/Jun/2020,14
30/Jun/2020,11
01/Jul/2020,11
02/Jul/2020,9
03/Jul/2020,8
04/Jul/2020,12
05/Jul/2020,13
06/Jul/2020,16
07/Jul/2020,18
08/Jul/2020,12
09/Jul/2020,12
10/Jul/2020,9
11/Jul/2020,11
12/Jul/2020,13
13/Jul/2020,12
14/Jul/2020,15
15/Jul/2020,12
16/Jul/2020,20
17/Jul/2020,12
18/Jul/2020,12
19/Jul/2020,16
20/Jul/2020,16
21/Jul/2020,15
22/Jul/2020,14
23/Jul/2020,18
24/Jul/2020,20
25/Jul/2020,22
26/Jul/2020,26
27/Jul/2020,26
28/Jul/2020,26
29/Jul/2020,25
30/Jul/2020,24
31/Jul/2020,26
01/Aug/2020,24
02/Aug/2020,26
03/Aug/2020,28
04/Aug/2020,33
05/Aug/2020,32
06/Aug/2020,30
07/Aug/2020,35
08/Aug/2020,39
09/Aug/2020,46
10/Aug/2020,40
11/Aug/2020,44
12/Aug/2020,54
13/Aug/2020,55
14/Aug/2020,60
15/Aug/2020,63
16/Aug/2020,64
17/Aug/2020,79
18/Aug/2020,88
19/Aug/2020,92
20/Aug/2020,92
21/Aug/2020,98
22/Aug/2020,106
23/Aug/2020,118
24/Aug/2020,134
25/Aug/2020,131
26/Aug/2020,139
27/Aug/2020,154
28/Aug/2020,154
29/Aug/2020,170
30/Aug/2020,187
31/Aug/2020,180
01/Sep/2020,163
02/Sep/2020,168
03/Sep/2020,178
04/Sep/2020,182
05/Sep/2020,195
06/Sep/2020,206
07/Sep/2020,208
08/Sep/2020,207
09/Sep/2020,200
10/Sep/2020,192
11/Sep/2020,191
12/Sep/2020,199
13/Sep/2020,209
14/Sep/2020,208
15/Sep/2020,196
16/Sep/2020,195
17/Sep/2020,187
18/Sep/2020,184
19/Sep/2020,186
20/Sep/2020,204
21/Sep/2020,198
22/Sep/2020,190
23/Sep/2020,183
24/Sep/2020,198
25/Sep/2020,201
26/Sep/2020,189
27/Sep/2020,192
28/Sep/2020,190
29/Sep/2020,204
30/Sep/2020,187
01/Oct/2020,197
02/Oct/2020,180
03/Oct/2020,205
04/Oct/2020,228
05/Oct/2020,229
06/Oct/2020,208
07/Oct/2020,203
08/Oct/2020,200
09/Oct/2020,188
10/Oct/2020,192
11/Oct/2020,212
12/Oct/2020,219
13/Oct/2020,219
14/Oct/2020,217
15/Oct/2020,227
16/Oct/2020,203
17/Oct/2020,202
18/Oct/2020,205
19/Oct/2020,209
20/Oct/2020,206
21/Oct/2020,210
22/Oct/2020,213
23/Oct/2020,224
24/Oct/2020,226
25/Oct/2020,216
26/Oct/2020,200
27/Oct/2020,187
28/Oct/2020,185
29/Oct/2020,169
30/Oct/2020,161
31/Oct/2020,166
01/Nov/2020,169
02/Nov/2020,174
03/Nov/2020,184
04/Nov/2020,170
05/Nov/2020,160
06/Nov/2020,162
07/Nov/2020,181
08/Nov/2020,190
09/Nov/2020,183
10/Nov/2020,192
11/Nov/2020,196
12/Nov/2020,198
13/Nov/2020,185
14/Nov/2020,181
15/Nov/2020,193
16/Nov/2020,197
17/Nov/2020,191
18/Nov/2020,184
19/Nov/2020,173
20/Nov/2020,162
21/Nov/2020,175
22/Nov/2020,179
23/Nov/2020,187
24/Nov/2020,197
25/Nov/2020,177
26/Nov/2020,177
27/Nov/2020,155
28/Nov/2020,166
29/Nov/2020,178
30/Nov/2020,173
01/Dec/2020,175
02/Dec/2020,166
03/Dec/2020,176
04/Dec/2020,185
05/Dec/2020,189
06/Dec/2020,201
07/Dec/2020,204
08/Dec/2020,220
09/Dec/2020,226
10/Dec/2020,218
11/Dec/2020,226
12/Dec/2020,248
13/Dec/2020,246
14/Dec/2020,261
15/Dec/2020,264
16/Dec/2020,258
17/Dec/2020,257
18/Dec/2020,234
19/Dec/2020,239
20/Dec/2020,248
21/Dec/2020,249
22/Dec/2020,243
23/Dec/2020,239
24/Dec/2020,233
25/Dec/2020,248
26/Dec/2020,255
27/Dec/2020,275
28/Dec/2020,274
29/Dec/2020,246
30/Dec/2020,228
31/Dec/2020,220
01/Jan/2021,222
02/Jan/2021,231
03/Jan/2021,239
04/Jan/2021,233
05/Jan/2021,229
06/Jan/2021,236
07/Jan/2021,244
08/Jan/2021,234
09/Jan/2021,235
10/Jan/2021,256
11/Jan/2021,260
12/Jan/2021,256
13/Jan/2021,237
14/Jan/2021,230
15/Jan/2021,212
16/Jan/2021,223
17/Jan/2021,236
18/Jan/2021,242
19/Jan/2021,251
20/Jan/2021,244
21/Jan/2021,237
22/Jan/2021,220
23/Jan/2021,222
24/Jan/2021,241
25/Jan/2021,249
26/Jan/2021,247
27/Jan/2021,239
28/Jan/2021,240
29/Jan/2021,227
30/Jan/2021,232
31/Jan/2021,253
01/Feb/2021,234
02/Feb/2021,248
03/Feb/2021,242
04/Feb/2021,251
05/Feb/2021,219
06/Feb/2021,228
07/Feb/2021,229
08/Feb/2021,237
09/Feb/2021,220
10/Feb/2021,206
11/Feb/2021,194
12/Feb/2021,182
13/Feb/2021,184
14/Feb/2021,186
15/Feb/2021,194
16/Feb/2021,188
17/Feb/2021,168
18/Feb/2021,159
19/Feb/2021,154
20/Feb/2021,158
21/Feb/2021,172
22/Feb/2021,173
23/Feb/2021,167
24/Feb/2021,153
25/Feb/2021,159
26/Feb/2021,162
27/Feb/2021,174
28/Feb/2021,169
01/Mar/2021,196
02/Mar/2021,202
03/Mar/2021,204
04/Mar/2021,205
05/Mar/2021,199
06/Mar/2021,209
07/Mar/2021,222
08/Mar/2021,221
09/Mar/2021,198
10/Mar/2021,200
11/Mar/2021,200
12/Mar/2021,195
13/Mar/2021,200
14/Mar/2021,222
15/Mar/2021,203
16/Mar/2021,197
