Date,NumCases
31/Jan/2020,1
01/Feb/2020,1
02/Feb/2020,1
03/Feb/2020,1
04/Feb/2020,1
05/Feb/2020,1
06/Feb/2020,1
07/Feb/2020,1
08/Feb/2020,1
09/Feb/2020,1
10/Feb/2020,1
11/Feb/2020,1
12/Feb/2020,1
13/Feb/2020,1
14/Feb/2020,1
15/Feb/2020,1
16/Feb/2020,1
17/Feb/2020,1
18/Feb/2020,1
19/Feb/2020,1
20/Feb/2020,1
21/Feb/2020,1
22/Feb/2020,1
23/Feb/2020,1
24/Feb/2020,1
25/Feb/2020,1
26/Feb/2020,1
27/Feb/2020,3
28/Feb/2020,1
29/Feb/2020,1
01/Mar/2020,1
02/Mar/2020,1
03/Mar/2020,1
04/Mar/2020,0
05/Mar/2020,3
06/Mar/2020,6
07/Mar/2020,3
08/Mar/2020,1
09/Mar/2020,3
10/Mar/2020,8
11/Mar/2020,16
12/Mar/2020,17
13/Mar/2020,24
14/Mar/2020,24
15/Mar/2020,19
16/Mar/2020,47
17/Mar/2020,43
18/Mar/2020,70
19/Mar/2020,73
20/Mar/2020,76
21/Mar/2020,89
22/Mar/2020,74
23/Mar/2020,93
24/Mar/2020,148
25/Mar/2020,93
26/Mar/2020,135
27/Mar/2020,84
28/Mar/2020,87
29/Mar/2020,89
30/Mar/2020,90
31/Mar/2020,77
01/Apr/2020,62
02/Apr/2020,63
03/Apr/2020,39
04/Apr/2020,37
05/Apr/2020,47
06/Apr/2020,38
07/Apr/2020,66
08/Apr/2020,28
09/Apr/2020,25
10/Apr/2020,31
11/Apr/2020,41
12/Apr/2020,4
13/Apr/2020,18
14/Apr/2020,10
15/Apr/2020,22
16/Apr/2020,19
17/Apr/2020,20
18/Apr/2020,14
19/Apr/2020,10
20/Apr/2020,14
21/Apr/2020,14
22/Apr/2020,22
23/Apr/2020,11
24/Apr/2020,14
25/Apr/2020,12
26/Apr/2020,7
27/Apr/2020,12
28/Apr/2020,6
29/Apr/2020,2
30/Apr/2020,9
01/May/2020,8
02/May/2020,5
03/May/2020,5
04/May/2020,0
05/May/2020,5
06/May/2020,4
07/May/2020,11
08/May/2020,7
09/May/2020,3
10/May/2020,6
11/May/2020,3
12/May/2020,2
13/May/2020,7
14/May/2020,4
15/May/2020,6
16/May/2020,5
17/May/2020,0
18/May/2020,2
19/May/2020,11
20/May/2020,5
21/May/2020,6
22/May/2020,3
23/May/2020,1
24/May/2020,2
25/May/2020,6
26/May/2020,2
27/May/2020,1
28/May/2020,7
29/May/2020,11
30/May/2020,2
31/May/2020,1
01/Jun/2020,4
02/Jun/2020,4
03/Jun/2020,5
04/Jun/2020,1
05/Jun/2020,0
06/Jun/2020,5
07/Jun/2020,1
08/Jun/2020,1
09/Jun/2020,0
10/Jun/2020,1
11/Jun/2020,1
12/Jun/2020,4
13/Jun/2020,2
14/Jun/2020,1
15/Jun/2020,1
16/Jun/2020,2
17/Jun/2020,14
18/Jun/2020,4
19/Jun/2020,1
20/Jun/2020,12
21/Jun/2020,0
22/Jun/2020,0
23/Jun/2020,6
24/Jun/2020,2
25/Jun/2020,1
26/Jun/2020,1
27/Jun/2020,0
28/Jun/2020,0
29/Jun/2020,0
30/Jun/2020,5
01/Jul/2020,4
02/Jul/2020,1
03/Jul/2020,3
04/Jul/2020,1
05/Jul/2020,1
06/Jul/2020,1
07/Jul/2020,1
08/Jul/2020,6
09/Jul/2020,5
10/Jul/2020,2
11/Jul/2020,1
12/Jul/2020,1
13/Jul/2020,5
14/Jul/2020,5
15/Jul/2020,13
16/Jul/2020,3
17/Jul/2020,9
18/Jul/2020,12
19/Jul/2020,47
20/Jul/2020,2
21/Jul/2020,11
22/Jul/2020,6
23/Jul/2020,8
24/Jul/2020,10
25/Jul/2020,18
26/Jul/2020,1
27/Jul/2020,5
28/Jul/2020,6
29/Jul/2020,5
30/Jul/2020,7
31/Jul/2020,12
01/Aug/2020,25
02/Aug/2020,24
03/Aug/2020,15
04/Aug/2020,17
05/Aug/2020,30
06/Aug/2020,58
07/Aug/2020,53
08/Aug/2020,52
09/Aug/2020,49
10/Aug/2020,88
11/Aug/2020,66
12/Aug/2020,105
13/Aug/2020,109
14/Aug/2020,143
15/Aug/2020,163
16/Aug/2020,80
17/Aug/2020,103
18/Aug/2020,149
19/Aug/2020,188
20/Aug/2020,192
21/Aug/2020,325
22/Aug/2020,240
23/Aug/2020,118
24/Aug/2020,225
25/Aug/2020,313
26/Aug/2020,343
27/Aug/2020,315
28/Aug/2020,274
29/Aug/2020,337
30/Aug/2020,302
31/Aug/2020,238
01/Sep/2020,266
02/Sep/2020,337
03/Sep/2020,380
04/Sep/2020,385
05/Sep/2020,292
06/Sep/2020,184
07/Sep/2020,188
08/Sep/2020,225
09/Sep/2020,270
10/Sep/2020,259
11/Sep/2020,259
12/Sep/2020,264
13/Sep/2020,207
14/Sep/2020,115
15/Sep/2020,181
16/Sep/2020,152
17/Sep/2020,178
18/Sep/2020,209
19/Sep/2020,197
20/Sep/2020,120
21/Sep/2020,172
22/Sep/2020,158
23/Sep/2020,151
24/Sep/2020,258
25/Sep/2020,152
26/Sep/2020,181
27/Sep/2020,154
28/Sep/2020,88
29/Sep/2020,161
30/Sep/2020,179
01/Oct/2020,198
02/Oct/2020,118
03/Oct/2020,162
04/Oct/2020,104
05/Oct/2020,79
06/Oct/2020,122
07/Oct/2020,123
08/Oct/2020,178
09/Oct/2020,140
10/Oct/2020,135
11/Oct/2020,135
12/Oct/2020,52
13/Oct/2020,68
14/Oct/2020,109
15/Oct/2020,155
16/Oct/2020,130
17/Oct/2020,132
18/Oct/2020,110
19/Oct/2020,127
20/Oct/2020,147
21/Oct/2020,151
22/Oct/2020,156
23/Oct/2020,85
24/Oct/2020,120
25/Oct/2020,43
26/Oct/2020,88
27/Oct/2020,102
28/Oct/2020,146
29/Oct/2020,108
30/Oct/2020,115
31/Oct/2020,139
01/Nov/2020,122
02/Nov/2020,59
03/Nov/2020,134
04/Nov/2020,158
05/Nov/2020,176
06/Nov/2020,180
07/Nov/2020,188
08/Nov/2020,98
09/Nov/2020,72
10/Nov/2020,128
11/Nov/2020,129
12/Nov/2020,118
13/Nov/2020,178
14/Nov/2020,105
15/Nov/2020,69
16/Nov/2020,74
17/Nov/2020,164
18/Nov/2020,122
19/Nov/2020,119
20/Nov/2020,136
21/Nov/2020,116
22/Nov/2020,75
23/Nov/2020,128
24/Nov/2020,147
25/Nov/2020,134
26/Nov/2020,115
27/Nov/2020,127
28/Nov/2020,137
29/Nov/2020,83
30/Nov/2020,105
01/Dec/2020,188
02/Dec/2020,215
03/Dec/2020,154
04/Dec/2020,224
05/Dec/2020,191
06/Dec/2020,92
07/Dec/2020,175
08/Dec/2020,106
09/Dec/2020,197
10/Dec/2020,238
11/Dec/2020,194
12/Dec/2020,334
13/Dec/2020,132
14/Dec/2020,124
15/Dec/2020,315
16/Dec/2020,227
17/Dec/2020,284
18/Dec/2020,211
19/Dec/2020,250
20/Dec/2020,124
21/Dec/2020,148
22/Dec/2020,239
23/Dec/2020,200
24/Dec/2020,203
25/Dec/2020,162
26/Dec/2020,126
27/Dec/2020,135
28/Dec/2020,246
29/Dec/2020,282
30/Dec/2020,232
31/Dec/2020,313
01/Jan/2021,144
02/Jan/2021,186
03/Jan/2021,168
04/Jan/2021,232
05/Jan/2021,250
06/Jan/2021,249
07/Jan/2021,244
08/Jan/2021,308
09/Jan/2021,283
10/Jan/2021,235
11/Jan/2021,248
12/Jan/2021,363
13/Jan/2021,349
14/Jan/2021,374
15/Jan/2021,270
16/Jan/2021,259
17/Jan/2021,173
18/Jan/2021,306
19/Jan/2021,309
20/Jan/2021,327
21/Jan/2021,329
22/Jan/2021,304
23/Jan/2021,293
24/Jan/2021,224
25/Jan/2021,225
26/Jan/2021,329
27/Jan/2021,333
