Date,NumCases
31/Jan/2020,1
01/Feb/2020,1
02/Feb/2020,1
03/Feb/2020,1
04/Feb/2020,1
05/Feb/2020,1
06/Feb/2020,1
07/Feb/2020,1
08/Feb/2020,1
09/Feb/2020,1
10/Feb/2020,1
11/Feb/2020,1
12/Feb/2020,1
13/Feb/2020,1
14/Feb/2020,1
15/Feb/2020,1
16/Feb/2020,1
17/Feb/2020,1
18/Feb/2020,1
19/Feb/2020,1
20/Feb/2020,1
21/Feb/2020,1
22/Feb/2020,1
23/Feb/2020,1
24/Feb/2020,1
25/Feb/2020,2
26/Feb/2020,2
27/Feb/2020,5
28/Feb/2020,6
29/Feb/2020,7
01/Mar/2020,7
02/Mar/2020,7
03/Mar/2020,8
04/Mar/2020,8
05/Mar/2020,11
06/Mar/2020,17
07/Mar/2020,20
08/Mar/2020,21
09/Mar/2020,24
10/Mar/2020,32
11/Mar/2020,48
12/Mar/2020,65
13/Mar/2020,89
14/Mar/2020,113
15/Mar/2020,132
16/Mar/2020,179
17/Mar/2020,222
18/Mar/2020,292
19/Mar/2020,365
20/Mar/2020,441
21/Mar/2020,530
22/Mar/2020,604
23/Mar/2020,697
24/Mar/2020,845
25/Mar/2020,938
26/Mar/2020,1073
27/Mar/2020,1157
28/Mar/2020,1244
29/Mar/2020,1333
30/Mar/2020,1423
31/Mar/2020,1500
01/Apr/2020,1562
02/Apr/2020,1625
03/Apr/2020,1664
04/Apr/2020,1701
05/Apr/2020,1748
06/Apr/2020,1786
07/Apr/2020,1852
08/Apr/2020,1880
09/Apr/2020,1905
10/Apr/2020,1936
11/Apr/2020,1977
12/Apr/2020,1981
13/Apr/2020,1999
14/Apr/2020,2009
15/Apr/2020,2031
16/Apr/2020,2050
17/Apr/2020,2070
18/Apr/2020,2084
19/Apr/2020,2094
20/Apr/2020,2108
21/Apr/2020,2122
22/Apr/2020,2144
23/Apr/2020,2155
24/Apr/2020,2169
25/Apr/2020,2181
26/Apr/2020,2188
27/Apr/2020,2200
28/Apr/2020,2206
29/Apr/2020,2208
30/Apr/2020,2217
01/May/2020,2225
02/May/2020,2230
03/May/2020,2235
04/May/2020,2235
05/May/2020,2240
06/May/2020,2244
07/May/2020,2255
08/May/2020,2262
09/May/2020,2265
10/May/2020,2271
11/May/2020,2274
12/May/2020,2276
13/May/2020,2283
14/May/2020,2287
15/May/2020,2293
16/May/2020,2298
17/May/2020,2298
18/May/2020,2300
19/May/2020,2311
20/May/2020,2316
21/May/2020,2322
22/May/2020,2325
23/May/2020,2326
24/May/2020,2328
25/May/2020,2334
26/May/2020,2336
27/May/2020,2337
28/May/2020,2344
29/May/2020,2355
30/May/2020,2357
31/May/2020,2358
01/Jun/2020,2362
02/Jun/2020,2366
03/Jun/2020,2371
04/Jun/2020,2372
05/Jun/2020,2372
06/Jun/2020,2377
07/Jun/2020,2378
08/Jun/2020,2379
09/Jun/2020,2379
10/Jun/2020,2380
11/Jun/2020,2381
12/Jun/2020,2385
13/Jun/2020,2387
14/Jun/2020,2388
15/Jun/2020,2389
16/Jun/2020,2391
17/Jun/2020,2405
18/Jun/2020,2409
19/Jun/2020,2410
20/Jun/2020,2422
21/Jun/2020,2422
22/Jun/2020,2422
23/Jun/2020,2428
24/Jun/2020,2430
25/Jun/2020,2431
26/Jun/2020,2432
27/Jun/2020,2432
28/Jun/2020,2432
29/Jun/2020,2432
30/Jun/2020,2437
01/Jul/2020,2441
02/Jul/2020,2442
03/Jul/2020,2445
04/Jul/2020,2446
05/Jul/2020,2446
06/Jul/2020,2447
07/Jul/2020,2447
08/Jul/2020,2453
09/Jul/2020,2458
10/Jul/2020,2460
11/Jul/2020,2461
12/Jul/2020,2462
13/Jul/2020,2467
14/Jul/2020,2472
15/Jul/2020,2485
16/Jul/2020,2488
17/Jul/2020,2497
18/Jul/2020,2509
19/Jul/2020,2556
20/Jul/2020,2558
21/Jul/2020,2569
22/Jul/2020,2575
23/Jul/2020,2583
24/Jul/2020,2593
25/Jul/2020,2611
26/Jul/2020,2612
27/Jul/2020,2617
28/Jul/2020,2623
29/Jul/2020,2628
30/Jul/2020,2635
31/Jul/2020,2647
01/Aug/2020,2672
02/Aug/2020,2696
03/Aug/2020,2711
04/Aug/2020,2728
05/Aug/2020,2758
06/Aug/2020,2816
07/Aug/2020,2869
08/Aug/2020,2921
09/Aug/2020,2970
10/Aug/2020,3058
11/Aug/2020,3124
12/Aug/2020,3229
13/Aug/2020,3338
14/Aug/2020,3481
15/Aug/2020,3644
16/Aug/2020,3724
17/Aug/2020,3827
18/Aug/2020,3976
19/Aug/2020,4164
20/Aug/2020,4356
21/Aug/2020,4681
22/Aug/2020,4921
23/Aug/2020,5039
24/Aug/2020,5264
25/Aug/2020,5577
26/Aug/2020,5920
27/Aug/2020,6235
28/Aug/2020,6509
29/Aug/2020,6846
30/Aug/2020,7148
31/Aug/2020,7386
01/Sep/2020,7652
02/Sep/2020,7989
03/Sep/2020,8369
04/Sep/2020,8754
05/Sep/2020,9046
06/Sep/2020,9230
07/Sep/2020,9418
08/Sep/2020,9643
09/Sep/2020,9913
10/Sep/2020,10172
11/Sep/2020,10431
12/Sep/2020,10695
13/Sep/2020,10902
14/Sep/2020,11017
15/Sep/2020,11198
16/Sep/2020,11350
17/Sep/2020,11528
18/Sep/2020,11737
19/Sep/2020,11934
20/Sep/2020,13054
21/Sep/2020,13226
22/Sep/2020,13384
23/Sep/2020,13535
24/Sep/2020,13793
25/Sep/2020,13945
26/Sep/2020,13126
27/Sep/2020,13280
28/Sep/2020,13368
29/Sep/2020,13529
30/Sep/2020,13708
01/Oct/2020,13906
02/Oct/2020,14024
03/Oct/2020,14186
04/Oct/2020,14290
05/Oct/2020,14369
06/Oct/2020,14491
07/Oct/2020,14614
08/Oct/2020,14792
09/Oct/2020,14932
10/Oct/2020,15067
11/Oct/2020,15202
12/Oct/2020,15254
13/Oct/2020,15322
14/Oct/2020,15431
15/Oct/2020,15586
16/Oct/2020,15716
17/Oct/2020,15848
18/Oct/2020,15958
19/Oct/2020,16085
20/Oct/2020,16232
21/Oct/2020,16383
22/Oct/2020,16539
23/Oct/2020,16624
24/Oct/2020,16744
25/Oct/2020,16787
26/Oct/2020,16875
27/Oct/2020,16977
28/Oct/2020,17123
29/Oct/2020,17231
30/Oct/2020,17346
31/Oct/2020,17485
01/Nov/2020,17607
02/Nov/2020,17666
03/Nov/2020,17800
04/Nov/2020,17958
05/Nov/2020,18134
06/Nov/2020,18314
07/Nov/2020,18502
08/Nov/2020,18600
09/Nov/2020,18672
10/Nov/2020,18800
11/Nov/2020,18929
12/Nov/2020,19047
13/Nov/2020,19225
14/Nov/2020,19330
15/Nov/2020,19399
16/Nov/2020,19473
17/Nov/2020,19637
18/Nov/2020,19759
19/Nov/2020,19878
20/Nov/2020,20014
21/Nov/2020,20130
22/Nov/2020,20205
23/Nov/2020,20333
24/Nov/2020,20480
25/Nov/2020,20614
26/Nov/2020,20729
27/Nov/2020,20856
28/Nov/2020,20993
29/Nov/2020,21076
30/Nov/2020,21181
01/Dec/2020,21369
02/Dec/2020,21584
03/Dec/2020,21738
04/Dec/2020,21962
05/Dec/2020,23153
06/Dec/2020,23245
07/Dec/2020,23420
08/Dec/2020,23526
09/Dec/2020,23723
10/Dec/2020,23961
11/Dec/2020,23155
12/Dec/2020,23489
13/Dec/2020,23621
14/Dec/2020,23745
15/Dec/2020,24060
16/Dec/2020,24287
17/Dec/2020,24571
18/Dec/2020,24782
19/Dec/2020,25032
20/Dec/2020,25156
21/Dec/2020,25304
22/Dec/2020,25543
23/Dec/2020,25743
24/Dec/2020,25946
25/Dec/2020,26108
26/Dec/2020,26234
27/Dec/2020,26369
28/Dec/2020,26615
29/Dec/2020,26897
30/Dec/2020,27129
31/Dec/2020,27442
01/Jan/2021,27586
