Date,NumCases
31/Jan/2020,0
01/Feb/2020,0
02/Feb/2020,0
03/Feb/2020,0
04/Feb/2020,0
05/Feb/2020,0
06/Feb/2020,0
07/Feb/2020,0
08/Feb/2020,0
09/Feb/2020,0
10/Feb/2020,0
11/Feb/2020,0
12/Feb/2020,0
13/Feb/2020,0
14/Feb/2020,0
15/Feb/2020,0
16/Feb/2020,0
17/Feb/2020,0
18/Feb/2020,0
19/Feb/2020,0
20/Feb/2020,0
21/Feb/2020,0
22/Feb/2020,0
23/Feb/2020,0
24/Feb/2020,0
25/Feb/2020,0
26/Feb/2020,0
27/Feb/2020,0
28/Feb/2020,0
29/Feb/2020,0
01/Mar/2020,0
02/Mar/2020,0
03/Mar/2020,0
04/Mar/2020,0
05/Mar/2020,0
06/Mar/2020,0
07/Mar/2020,0
08/Mar/2020,0
09/Mar/2020,0
10/Mar/2020,0
11/Mar/2020,0
12/Mar/2020,0
13/Mar/2020,1
14/Mar/2020,1
15/Mar/2020,2
16/Mar/2020,3
17/Mar/2020,4
18/Mar/2020,4
19/Mar/2020,7
20/Mar/2020,10
21/Mar/2020,10
22/Mar/2020,14
23/Mar/2020,18
24/Mar/2020,23
25/Mar/2020,29
26/Mar/2020,38
27/Mar/2020,48
28/Mar/2020,53
29/Mar/2020,58
30/Mar/2020,62
31/Mar/2020,69
01/Apr/2020,76
02/Apr/2020,83
03/Apr/2020,88
04/Apr/2020,91
05/Apr/2020,93
06/Apr/2020,96
07/Apr/2020,96
08/Apr/2020,100
09/Apr/2020,101
10/Apr/2020,101
11/Apr/2020,103
12/Apr/2020,103
13/Apr/2020,106
14/Apr/2020,108
15/Apr/2020,114
16/Apr/2020,117
17/Apr/2020,120
18/Apr/2020,121
19/Apr/2020,122
20/Apr/2020,123
21/Apr/2020,126
22/Apr/2020,129
23/Apr/2020,132
24/Apr/2020,136
25/Apr/2020,136
26/Apr/2020,137
27/Apr/2020,138
28/Apr/2020,139
29/Apr/2020,140
30/Apr/2020,141
01/May/2020,143
02/May/2020,144
03/May/2020,145
04/May/2020,145
05/May/2020,146
06/May/2020,150
07/May/2020,150
08/May/2020,151
09/May/2020,151
10/May/2020,151
11/May/2020,152
12/May/2020,152
13/May/2020,152
14/May/2020,152
15/May/2020,152
16/May/2020,154
17/May/2020,156
18/May/2020,157
19/May/2020,157
20/May/2020,157
21/May/2020,157
22/May/2020,157
23/May/2020,157
24/May/2020,157
25/May/2020,158
26/May/2020,159
27/May/2020,160
28/May/2020,160
29/May/2020,160
30/May/2020,160
31/May/2020,160
01/Jun/2020,160
02/Jun/2020,161
03/Jun/2020,161
04/Jun/2020,161
05/Jun/2020,161
06/Jun/2020,161
07/Jun/2020,161
08/Jun/2020,161
09/Jun/2020,161
10/Jun/2020,162
11/Jun/2020,162
12/Jun/2020,162
13/Jun/2020,162
14/Jun/2020,162
15/Jun/2020,162
16/Jun/2020,162
17/Jun/2020,162
18/Jun/2020,162
19/Jun/2020,162
20/Jun/2020,162
21/Jun/2020,162
22/Jun/2020,162
23/Jun/2020,162
24/Jun/2020,162
25/Jun/2020,162
26/Jun/2020,162
27/Jun/2020,162
28/Jun/2020,162
29/Jun/2020,162
30/Jun/2020,162
01/Jul/2020,162
02/Jul/2020,162
03/Jul/2020,162
04/Jul/2020,162
05/Jul/2020,162
06/Jul/2020,162
07/Jul/2020,162
08/Jul/2020,162
09/Jul/2020,162
10/Jul/2020,162
11/Jul/2020,162
12/Jul/2020,162
13/Jul/2020,162
14/Jul/2020,162
15/Jul/2020,162
16/Jul/2020,162
17/Jul/2020,162
18/Jul/2020,162
19/Jul/2020,162
20/Jul/2020,162
21/Jul/2020,162
22/Jul/2020,162
23/Jul/2020,162
24/Jul/2020,162
25/Jul/2020,162
26/Jul/2020,162
27/Jul/2020,162
28/Jul/2020,162
29/Jul/2020,162
30/Jul/2020,162
31/Jul/2020,162
01/Aug/2020,162
02/Aug/2020,162
03/Aug/2020,162
04/Aug/2020,162
05/Aug/2020,162
06/Aug/2020,162
07/Aug/2020,163
08/Aug/2020,164
09/Aug/2020,164
10/Aug/2020,164
11/Aug/2020,164
12/Aug/2020,164
13/Aug/2020,164
14/Aug/2020,165
15/Aug/2020,165
16/Aug/2020,166
17/Aug/2020,166
18/Aug/2020,166
19/Aug/2020,166
20/Aug/2020,168
21/Aug/2020,168
22/Aug/2020,168
23/Aug/2020,169
