Date,NumCases
23/Mar/2020,3096
24/Mar/2020,3018
25/Mar/2020,2942
26/Mar/2020,2789
27/Mar/2020,2712
28/Mar/2020,2660
29/Mar/2020,2708
30/Mar/2020,2756
31/Mar/2020,2763
01/Apr/2020,2721
02/Apr/2020,2852
03/Apr/2020,2648
04/Apr/2020,2659
05/Apr/2020,2757
06/Apr/2020,2750
07/Apr/2020,2639
08/Apr/2020,2632
09/Apr/2020,2625
10/Apr/2020,2654
11/Apr/2020,2714
12/Apr/2020,2810
13/Apr/2020,2862
14/Apr/2020,2804
15/Apr/2020,2873
16/Apr/2020,2920
17/Apr/2020,2794
18/Apr/2020,2787
19/Apr/2020,2901
20/Apr/2020,3066
21/Apr/2020,3017
22/Apr/2020,3032
23/Apr/2020,3023
24/Apr/2020,2882
25/Apr/2020,2905
26/Apr/2020,3036
27/Apr/2020,3110
28/Apr/2020,3174
29/Apr/2020,3212
30/Apr/2020,3026
01/May/2020,3000
02/May/2020,2992
03/May/2020,3235
04/May/2020,3292
05/May/2020,3333
06/May/2020,3427
07/May/2020,3455
08/May/2020,3290
09/May/2020,3262
10/May/2020,3403
11/May/2020,3463
12/May/2020,3510
13/May/2020,3534
14/May/2020,3547
15/May/2020,3342
16/May/2020,3321
17/May/2020,3468
18/May/2020,3528
19/May/2020,3597
20/May/2020,3592
21/May/2020,3532
22/May/2020,3385
23/May/2020,3296
24/May/2020,3478
25/May/2020,3581
26/May/2020,3651
27/May/2020,3666
28/May/2020,3632
29/May/2020,3447
30/May/2020,3374
31/May/2020,3472
01/Jun/2020,3570
02/Jun/2020,3597
03/Jun/2020,3642
04/Jun/2020,3690
05/Jun/2020,3509
06/Jun/2020,3433
07/Jun/2020,3572
08/Jun/2020,3685
09/Jun/2020,3681
10/Jun/2020,3738
11/Jun/2020,3810
12/Jun/2020,3558
13/Jun/2020,3451
14/Jun/2020,3628
15/Jun/2020,3719
16/Jun/2020,3746
17/Jun/2020,3776
18/Jun/2020,3828
19/Jun/2020,3583
20/Jun/2020,3525
21/Jun/2020,3597
22/Jun/2020,3767
23/Jun/2020,3752
24/Jun/2020,3749
25/Jun/2020,3752
26/Jun/2020,3603
27/Jun/2020,3497
28/Jun/2020,3635
29/Jun/2020,3742
30/Jun/2020,3784
01/Jul/2020,3823
02/Jul/2020,3812
03/Jul/2020,3611
04/Jul/2020,3559
05/Jul/2020,3663
06/Jul/2020,3732
07/Jul/2020,3762
08/Jul/2020,3813
09/Jul/2020,3752
10/Jul/2020,3538
11/Jul/2020,3443
12/Jul/2020,3580
13/Jul/2020,3613
14/Jul/2020,3751
15/Jul/2020,3821
16/Jul/2020,3809
17/Jul/2020,3573
18/Jul/2020,3512
19/Jul/2020,3645
20/Jul/2020,3823
21/Jul/2020,3782
22/Jul/2020,3759
23/Jul/2020,3727
24/Jul/2020,3526
25/Jul/2020,3499
26/Jul/2020,3614
27/Jul/2020,3701
28/Jul/2020,3740
29/Jul/2020,3751
30/Jul/2020,3717
31/Jul/2020,3470
01/Aug/2020,3393
02/Aug/2020,3562
03/Aug/2020,3670
04/Aug/2020,3745
05/Aug/2020,3735
06/Aug/2020,3685
07/Aug/2020,3538
08/Aug/2020,3459
09/Aug/2020,3632
10/Aug/2020,3689
11/Aug/2020,3698
12/Aug/2020,3667
13/Aug/2020,3629
14/Aug/2020,3444
15/Aug/2020,3395
16/Aug/2020,3495
17/Aug/2020,3632
18/Aug/2020,3675
19/Aug/2020,3666
20/Aug/2020,3641
21/Aug/2020,3435
22/Aug/2020,3331
23/Aug/2020,3494
24/Aug/2020,3523
25/Aug/2020,3594
26/Aug/2020,3519
27/Aug/2020,3461
28/Aug/2020,3292
29/Aug/2020,3292
30/Aug/2020,3408
31/Aug/2020,3479
01/Sep/2020,3523
02/Sep/2020,3513
03/Sep/2020,3569
04/Sep/2020,3388
05/Sep/2020,3273
06/Sep/2020,3345
07/Sep/2020,3396
08/Sep/2020,3494
09/Sep/2020,3604
10/Sep/2020,3632
11/Sep/2020,3411
12/Sep/2020,3334
13/Sep/2020,3437
14/Sep/2020,3510
15/Sep/2020,3543
16/Sep/2020,3543
17/Sep/2020,3613
18/Sep/2020,3376
19/Sep/2020,3329
20/Sep/2020,3461
21/Sep/2020,3544
22/Sep/2020,3576
23/Sep/2020,3536
24/Sep/2020,3501
25/Sep/2020,3370
26/Sep/2020,3348
27/Sep/2020,3458
28/Sep/2020,3543
29/Sep/2020,3540
