Date,NumCases
31/Jan/2020,0
01/Feb/2020,0
02/Feb/2020,0
03/Feb/2020,0
04/Feb/2020,0
05/Feb/2020,0
06/Feb/2020,0
07/Feb/2020,0
08/Feb/2020,0
09/Feb/2020,0
10/Feb/2020,0
11/Feb/2020,0
12/Feb/2020,0
13/Feb/2020,0
14/Feb/2020,0
15/Feb/2020,0
16/Feb/2020,0
17/Feb/2020,0
18/Feb/2020,0
19/Feb/2020,0
20/Feb/2020,0
21/Feb/2020,0
22/Feb/2020,0
23/Feb/2020,0
24/Feb/2020,0
25/Feb/2020,0
26/Feb/2020,0
27/Feb/2020,0
28/Feb/2020,0
29/Feb/2020,0
01/Mar/2020,0
02/Mar/2020,0
03/Mar/2020,1
04/Mar/2020,1
05/Mar/2020,1
06/Mar/2020,0
07/Mar/2020,0
08/Mar/2020,2
09/Mar/2020,0
10/Mar/2020,0
11/Mar/2020,0
12/Mar/2020,0
13/Mar/2020,1
14/Mar/2020,1
15/Mar/2020,1
16/Mar/2020,1
17/Mar/2020,1
18/Mar/2020,2
19/Mar/2020,1
20/Mar/2020,2
21/Mar/2020,0
22/Mar/2020,3
23/Mar/2020,6
24/Mar/2020,4
25/Mar/2020,8
26/Mar/2020,11
27/Mar/2020,20
28/Mar/2020,14
29/Mar/2020,13
30/Mar/2020,31
31/Mar/2020,26
01/Apr/2020,28
02/Apr/2020,24
03/Apr/2020,54
04/Apr/2020,32
05/Apr/2020,37
06/Apr/2020,55
07/Apr/2020,37
08/Apr/2020,67
09/Apr/2020,38
10/Apr/2020,41
11/Apr/2020,26
12/Apr/2020,18
13/Apr/2020,53
14/Apr/2020,53
15/Apr/2020,64
16/Apr/2020,64
17/Apr/2020,76
18/Apr/2020,39
19/Apr/2020,17
20/Apr/2020,65
21/Apr/2020,51
22/Apr/2020,57
23/Apr/2020,46
24/Apr/2020,54
25/Apr/2020,17
26/Apr/2020,4
27/Apr/2020,50
28/Apr/2020,39
29/Apr/2020,35
30/Apr/2020,52
01/May/2020,21
02/May/2020,18
03/May/2020,11
04/May/2020,51
05/May/2020,30
06/May/2020,45
07/May/2020,26
08/May/2020,43
09/May/2020,15
10/May/2020,10
11/May/2020,24
12/May/2020,24
13/May/2020,36
14/May/2020,34
15/May/2020,17
16/May/2020,9
17/May/2020,6
18/May/2020,28
19/May/2020,26
20/May/2020,21
21/May/2020,20
22/May/2020,27
23/May/2020,11
24/May/2020,3
25/May/2020,12
26/May/2020,17
27/May/2020,9
28/May/2020,12
29/May/2020,12
30/May/2020,7
31/May/2020,3
01/Jun/2020,8
02/Jun/2020,11
03/Jun/2020,13
04/Jun/2020,8
05/Jun/2020,7
06/Jun/2020,1
07/Jun/2020,4
08/Jun/2020,9
09/Jun/2020,5
10/Jun/2020,4
11/Jun/2020,12
12/Jun/2020,3
13/Jun/2020,3
14/Jun/2020,4
15/Jun/2020,3
16/Jun/2020,8
17/Jun/2020,8
18/Jun/2020,4
19/Jun/2020,4
20/Jun/2020,3
21/Jun/2020,1
22/Jun/2020,5
23/Jun/2020,11
24/Jun/2020,1
25/Jun/2020,4
26/Jun/2020,4
27/Jun/2020,3
28/Jun/2020,1
29/Jun/2020,5
30/Jun/2020,4
01/Jul/2020,7
02/Jul/2020,4
03/Jul/2020,3
04/Jul/2020,0
05/Jul/2020,0
06/Jul/2020,0
07/Jul/2020,0
08/Jul/2020,1
09/Jul/2020,1
10/Jul/2020,4
11/Jul/2020,1
12/Jul/2020,0
13/Jul/2020,3
14/Jul/2020,17
15/Jul/2020,3
16/Jul/2020,0
17/Jul/2020,3
18/Jul/2020,2
19/Jul/2020,0
20/Jul/2020,2
21/Jul/2020,3
22/Jul/2020,0
23/Jul/2020,11
24/Jul/2020,20
25/Jul/2020,5
26/Jul/2020,3
27/Jul/2020,7
28/Jul/2020,5
29/Jul/2020,21
30/Jul/2020,9
31/Jul/2020,9
01/Aug/2020,0
02/Aug/2020,0
03/Aug/2020,1
04/Aug/2020,5
05/Aug/2020,13
06/Aug/2020,6
07/Aug/2020,7
08/Aug/2020,7
09/Aug/2020,2
10/Aug/2020,21
11/Aug/2020,30
12/Aug/2020,13
13/Aug/2020,21
14/Aug/2020,32
15/Aug/2020,27
16/Aug/2020,16
17/Aug/2020,49
18/Aug/2020,55
19/Aug/2020,36
20/Aug/2020,94
21/Aug/2020,108
22/Aug/2020,102
23/Aug/2020,77
