Date,NumCases
23/Mar/2020,1
24/Mar/2020,1
25/Mar/2020,1
26/Mar/2020,8
27/Mar/2020,29
28/Mar/2020,33
29/Mar/2020,53
30/Mar/2020,56
31/Mar/2020,53
01/Apr/2020,42
02/Apr/2020,44
03/Apr/2020,52
04/Apr/2020,33
05/Apr/2020,41
06/Apr/2020,47
07/Apr/2020,48
08/Apr/2020,43
09/Apr/2020,35
10/Apr/2020,29
11/Apr/2020,19
12/Apr/2020,28
13/Apr/2020,36
14/Apr/2020,38
15/Apr/2020,27
16/Apr/2020,51
17/Apr/2020,32
18/Apr/2020,18
19/Apr/2020,13
20/Apr/2020,29
21/Apr/2020,26
22/Apr/2020,14
23/Apr/2020,18
24/Apr/2020,24
25/Apr/2020,16
26/Apr/2020,11
27/Apr/2020,19
28/Apr/2020,24
29/Apr/2020,28
30/Apr/2020,20
01/May/2020,8
02/May/2020,8
03/May/2020,10
04/May/2020,15
05/May/2020,18
06/May/2020,15
07/May/2020,13
08/May/2020,11
09/May/2020,9
10/May/2020,8
11/May/2020,8
12/May/2020,11
13/May/2020,9
14/May/2020,5
15/May/2020,6
16/May/2020,5
17/May/2020,5
18/May/2020,7
19/May/2020,4
20/May/2020,6
21/May/2020,7
22/May/2020,7
23/May/2020,8
24/May/2020,4
25/May/2020,10
26/May/2020,6
27/May/2020,9
28/May/2020,6
29/May/2020,4
30/May/2020,8
31/May/2020,6
01/Jun/2020,5
02/Jun/2020,6
03/Jun/2020,11
04/Jun/2020,4
05/Jun/2020,7
06/Jun/2020,5
07/Jun/2020,3
08/Jun/2020,5
09/Jun/2020,5
10/Jun/2020,4
11/Jun/2020,4
12/Jun/2020,7
13/Jun/2020,3
14/Jun/2020,1
15/Jun/2020,5
16/Jun/2020,6
17/Jun/2020,3
18/Jun/2020,4
19/Jun/2020,7
20/Jun/2020,4
21/Jun/2020,7
22/Jun/2020,4
23/Jun/2020,5
24/Jun/2020,2
25/Jun/2020,2
26/Jun/2020,3
27/Jun/2020,2
28/Jun/2020,4
29/Jun/2020,3
30/Jun/2020,2
01/Jul/2020,3
02/Jul/2020,1
03/Jul/2020,0
04/Jul/2020,5
05/Jul/2020,4
06/Jul/2020,4
07/Jul/2020,3
08/Jul/2020,2
09/Jul/2020,3
10/Jul/2020,0
11/Jul/2020,2
12/Jul/2020,2
13/Jul/2020,2
14/Jul/2020,3
15/Jul/2020,1
16/Jul/2020,10
17/Jul/2020,1
18/Jul/2020,3
19/Jul/2020,5
20/Jul/2020,4
21/Jul/2020,5
22/Jul/2020,3
23/Jul/2020,3
24/Jul/2020,4
25/Jul/2020,5
26/Jul/2020,2
27/Jul/2020,2
28/Jul/2020,2
29/Jul/2020,3
30/Jul/2020,2
31/Jul/2020,5
01/Aug/2020,2
02/Aug/2020,3
03/Aug/2020,2
04/Aug/2020,8
05/Aug/2020,2
06/Aug/2020,2
07/Aug/2020,4
08/Aug/2020,6
09/Aug/2020,11
10/Aug/2020,8
11/Aug/2020,8
12/Aug/2020,11
13/Aug/2020,12
14/Aug/2020,14
15/Aug/2020,10
16/Aug/2020,9
17/Aug/2020,16
18/Aug/2020,22
19/Aug/2020,18
20/Aug/2020,15
21/Aug/2020,16
22/Aug/2020,21
23/Aug/2020,16
24/Aug/2020,26
25/Aug/2020,30
26/Aug/2020,22
27/Aug/2020,23
28/Aug/2020,24
29/Aug/2020,29
30/Aug/2020,28
31/Aug/2020,25
01/Sep/2020,24
02/Sep/2020,33
03/Sep/2020,41
04/Sep/2020,22
05/Sep/2020,28
06/Sep/2020,22
07/Sep/2020,38
08/Sep/2020,30
09/Sep/2020,24
10/Sep/2020,26
11/Sep/2020,27
12/Sep/2020,20
13/Sep/2020,16
14/Sep/2020,15
15/Sep/2020,17
16/Sep/2020,22
17/Sep/2020,17
18/Sep/2020,18
19/Sep/2020,13
20/Sep/2020,23
21/Sep/2020,20
22/Sep/2020,10
23/Sep/2020,16
24/Sep/2020,22
25/Sep/2020,32
26/Sep/2020,16
27/Sep/2020,21
28/Sep/2020,16
29/Sep/2020,22
30/Sep/2020,20
01/Oct/2020,19
02/Oct/2020,16
03/Oct/2020,17
04/Oct/2020,24
05/Oct/2020,17
06/Oct/2020,18
07/Oct/2020,14
08/Oct/2020,24
09/Oct/2020,20
10/Oct/2020,13
11/Oct/2020,20
12/Oct/2020,13
13/Oct/2020,22
14/Oct/2020,16
15/Oct/2020,17
16/Oct/2020,22
17/Oct/2020,13
18/Oct/2020,12
19/Oct/2020,18
20/Oct/2020,12
21/Oct/2020,20
22/Oct/2020,24
23/Oct/2020,16
24/Oct/2020,13
25/Oct/2020,5
26/Oct/2020,11
27/Oct/2020,12
28/Oct/2020,14
29/Oct/2020,12
30/Oct/2020,12
31/Oct/2020,7
01/Nov/2020,13
02/Nov/2020,18
03/Nov/2020,21
04/Nov/2020,19
05/Nov/2020,21
06/Nov/2020,30
07/Nov/2020,25
08/Nov/2020,16
09/Nov/2020,11
10/Nov/2020,22
11/Nov/2020,18
12/Nov/2020,18
13/Nov/2020,14
14/Nov/2020,16
15/Nov/2020,16
16/Nov/2020,22
17/Nov/2020,14
18/Nov/2020,11
19/Nov/2020,13
20/Nov/2020,14
21/Nov/2020,14
22/Nov/2020,11
23/Nov/2020,18
24/Nov/2020,21
25/Nov/2020,15
26/Nov/2020,15
27/Nov/2020,10
28/Nov/2020,14
29/Nov/2020,13
30/Nov/2020,15
01/Dec/2020,14
02/Dec/2020,11
03/Dec/2020,15
04/Dec/2020,17
05/Dec/2020,10
06/Dec/2020,13
07/Dec/2020,16
08/Dec/2020,22
09/Dec/2020,33
10/Dec/2020,18
11/Dec/2020,31
12/Dec/2020,25
13/Dec/2020,8
14/Dec/2020,25
15/Dec/2020,31
16/Dec/2020,25
17/Dec/2020,23
18/Dec/2020,20
19/Dec/2020,15
20/Dec/2020,13
21/Dec/2020,18
22/Dec/2020,19
23/Dec/2020,25
24/Dec/2020,14
25/Dec/2020,17
26/Dec/2020,17
27/Dec/2020,22
28/Dec/2020,24
29/Dec/2020,17
30/Dec/2020,17
31/Dec/2020,22
01/Jan/2021,12
02/Jan/2021,14
03/Jan/2021,15
04/Jan/2021,15
05/Jan/2021,25
06/Jan/2021,19
07/Jan/2021,29
08/Jan/2021,22
09/Jan/2021,14
10/Jan/2021,30
11/Jan/2021,22
12/Jan/2021,23
13/Jan/2021,22
14/Jan/2021,19
15/Jan/2021,20
16/Jan/2021,27
17/Jan/2021,25
18/Jan/2021,33
19/Jan/2021,31
20/Jan/2021,20
21/Jan/2021,28
22/Jan/2021,30
23/Jan/2021,22
24/Jan/2021,34
25/Jan/2021,35
26/Jan/2021,27
27/Jan/2021,26
28/Jan/2021,36
29/Jan/2021,29
30/Jan/2021,17
31/Jan/2021,30
01/Feb/2021,26
02/Feb/2021,23
03/Feb/2021,24
04/Feb/2021,28
05/Feb/2021,23
06/Feb/2021,23
07/Feb/2021,13
08/Feb/2021,34
09/Feb/2021,23
10/Feb/2021,23
11/Feb/2021,20
12/Feb/2021,28
13/Feb/2021,19
14/Feb/2021,10
15/Feb/2021,23
16/Feb/2021,25
17/Feb/2021,12
18/Feb/2021,20
19/Feb/2021,12
20/Feb/2021,19
21/Feb/2021,19
22/Feb/2021,19
23/Feb/2021,18
24/Feb/2021,12
25/Feb/2021,24
26/Feb/2021,22
27/Feb/2021,11
28/Feb/2021,15
01/Mar/2021,26
02/Mar/2021,23
03/Mar/2021,21
04/Mar/2021,21
05/Mar/2021,22
06/Mar/2021,17
07/Mar/2021,20
08/Mar/2021,24
09/Mar/2021,16
