Date,NumCases
26/Mar/2020,62
27/Mar/2020,121
28/Mar/2020,88
29/Mar/2020,209
30/Mar/2020,298
31/Mar/2020,332
01/Apr/2020,317
02/Apr/2020,307
03/Apr/2020,237
04/Apr/2020,224
05/Apr/2020,233
06/Apr/2020,339
07/Apr/2020,313
08/Apr/2020,264
09/Apr/2020,225
10/Apr/2020,193
11/Apr/2020,183
12/Apr/2020,205
13/Apr/2020,331
14/Apr/2020,338
15/Apr/2020,366
16/Apr/2020,355
17/Apr/2020,263
18/Apr/2020,170
19/Apr/2020,243
20/Apr/2020,365
21/Apr/2020,364
22/Apr/2020,324
23/Apr/2020,360
24/Apr/2020,275
25/Apr/2020,190
26/Apr/2020,231
27/Apr/2020,376
28/Apr/2020,402
29/Apr/2020,391
30/Apr/2020,298
01/May/2020,209
02/May/2020,181
03/May/2020,285
04/May/2020,402
05/May/2020,378
06/May/2020,436
07/May/2020,408
08/May/2020,346
09/May/2020,194
10/May/2020,280
11/May/2020,415
12/May/2020,434
13/May/2020,471
14/May/2020,448
15/May/2020,334
16/May/2020,189
17/May/2020,314
18/May/2020,440
19/May/2020,438
20/May/2020,442
21/May/2020,435
22/May/2020,382
23/May/2020,224
24/May/2020,285
25/May/2020,494
26/May/2020,457
27/May/2020,487
28/May/2020,495
29/May/2020,367
30/May/2020,200
31/May/2020,316
01/Jun/2020,459
02/Jun/2020,469
03/Jun/2020,492
04/Jun/2020,489
05/Jun/2020,370
06/Jun/2020,189
07/Jun/2020,293
08/Jun/2020,527
09/Jun/2020,487
10/Jun/2020,526
11/Jun/2020,519
12/Jun/2020,380
13/Jun/2020,241
14/Jun/2020,308
15/Jun/2020,538
16/Jun/2020,534
17/Jun/2020,483
18/Jun/2020,531
19/Jun/2020,398
20/Jun/2020,187
21/Jun/2020,288
22/Jun/2020,581
23/Jun/2020,525
24/Jun/2020,428
25/Jun/2020,494
26/Jun/2020,460
27/Jun/2020,212
28/Jun/2020,289
29/Jun/2020,508
30/Jun/2020,562
01/Jul/2020,536
02/Jul/2020,570
03/Jul/2020,408
04/Jul/2020,246
05/Jul/2020,292
06/Jul/2020,520
07/Jul/2020,560
08/Jul/2020,618
09/Jul/2020,512
10/Jul/2020,420
11/Jul/2020,226
12/Jul/2020,304
13/Jul/2020,570
14/Jul/2020,516
15/Jul/2020,545
16/Jul/2020,568
17/Jul/2020,387
18/Jul/2020,251
19/Jul/2020,306
20/Jul/2020,581
21/Jul/2020,530
22/Jul/2020,522
23/Jul/2020,509
24/Jul/2020,386
25/Jul/2020,257
26/Jul/2020,288
27/Jul/2020,530
28/Jul/2020,515
29/Jul/2020,534
30/Jul/2020,487
31/Jul/2020,378
01/Aug/2020,230
02/Aug/2020,294
03/Aug/2020,512
04/Aug/2020,523
05/Aug/2020,504
06/Aug/2020,515
07/Aug/2020,418
08/Aug/2020,226
09/Aug/2020,266
10/Aug/2020,501
11/Aug/2020,513
12/Aug/2020,512
13/Aug/2020,490
14/Aug/2020,381
15/Aug/2020,217
16/Aug/2020,251
17/Aug/2020,530
18/Aug/2020,495
19/Aug/2020,512
20/Aug/2020,480
21/Aug/2020,370
22/Aug/2020,233
23/Aug/2020,278
24/Aug/2020,491
25/Aug/2020,511
26/Aug/2020,509
27/Aug/2020,481
28/Aug/2020,414
29/Aug/2020,299
30/Aug/2020,263
31/Aug/2020,456
01/Sep/2020,505
02/Sep/2020,511
03/Sep/2020,528
04/Sep/2020,412
05/Sep/2020,237
06/Sep/2020,236
07/Sep/2020,360
08/Sep/2020,422
09/Sep/2020,485
10/Sep/2020,500
11/Sep/2020,403
12/Sep/2020,242
13/Sep/2020,225
14/Sep/2020,475
15/Sep/2020,464
16/Sep/2020,518
17/Sep/2020,506
18/Sep/2020,413
19/Sep/2020,244
20/Sep/2020,289
21/Sep/2020,511
22/Sep/2020,475
23/Sep/2020,500
24/Sep/2020,496
25/Sep/2020,487
26/Sep/2020,244
27/Sep/2020,279
28/Sep/2020,473
29/Sep/2020,518
30/Sep/2020,475
01/Oct/2020,499
02/Oct/2020,383
03/Oct/2020,256
04/Oct/2020,285
05/Oct/2020,489
06/Oct/2020,520
07/Oct/2020,508
08/Oct/2020,526
09/Oct/2020,431
10/Oct/2020,242
11/Oct/2020,217
12/Oct/2020,291
13/Oct/2020,517
14/Oct/2020,508
15/Oct/2020,537
16/Oct/2020,446
17/Oct/2020,247
18/Oct/2020,272
19/Oct/2020,542
20/Oct/2020,557
21/Oct/2020,549
22/Oct/2020,531
23/Oct/2020,444
24/Oct/2020,221
25/Oct/2020,296
26/Oct/2020,521
27/Oct/2020,541
28/Oct/2020,561
29/Oct/2020,541
30/Oct/2020,410
31/Oct/2020,251
01/Nov/2020,282
02/Nov/2020,575
03/Nov/2020,588
04/Nov/2020,567
05/Nov/2020,560
06/Nov/2020,439
07/Nov/2020,258
08/Nov/2020,315
09/Nov/2020,554
10/Nov/2020,575
11/Nov/2020,584
12/Nov/2020,574
13/Nov/2020,481
14/Nov/2020,206
15/Nov/2020,303
16/Nov/2020,576
17/Nov/2020,585
18/Nov/2020,553
19/Nov/2020,541
20/Nov/2020,437
21/Nov/2020,234
22/Nov/2020,300
23/Nov/2020,635
24/Nov/2020,609
25/Nov/2020,601
26/Nov/2020,541
27/Nov/2020,439
28/Nov/2020,218
29/Nov/2020,294
30/Nov/2020,574
01/Dec/2020,542
02/Dec/2020,520
03/Dec/2020,588
04/Dec/2020,434
05/Dec/2020,241
06/Dec/2020,195
07/Dec/2020,214
08/Dec/2020,326
09/Dec/2020,509
10/Dec/2020,492
11/Dec/2020,443
12/Dec/2020,253
13/Dec/2020,290
14/Dec/2020,571
15/Dec/2020,531
16/Dec/2020,534
17/Dec/2020,530
18/Dec/2020,435
19/Dec/2020,224
20/Dec/2020,242
21/Dec/2020,450
22/Dec/2020,451
23/Dec/2020,408
24/Dec/2020,244
25/Dec/2020,213
26/Dec/2020,213
27/Dec/2020,282
28/Dec/2020,426
29/Dec/2020,472
30/Dec/2020,380
31/Dec/2020,277
01/Jan/2021,211
02/Jan/2021,231
03/Jan/2021,260
04/Jan/2021,343
05/Jan/2021,344
06/Jan/2021,244
07/Jan/2021,399
08/Jan/2021,417
09/Jan/2021,210
10/Jan/2021,299
11/Jan/2021,547
12/Jan/2021,508
13/Jan/2021,540
14/Jan/2021,522
15/Jan/2021,460
16/Jan/2021,203
17/Jan/2021,279
18/Jan/2021,575
19/Jan/2021,516
20/Jan/2021,524
21/Jan/2021,537
22/Jan/2021,496
23/Jan/2021,246
24/Jan/2021,267
25/Jan/2021,543
26/Jan/2021,542
27/Jan/2021,546
28/Jan/2021,555
29/Jan/2021,457
30/Jan/2021,233
31/Jan/2021,270
01/Feb/2021,465
02/Feb/2021,405
03/Feb/2021,536
04/Feb/2021,510
05/Feb/2021,466
06/Feb/2021,225
07/Feb/2021,280
08/Feb/2021,511
09/Feb/2021,523
10/Feb/2021,539
11/Feb/2021,557
12/Feb/2021,437
13/Feb/2021,239
14/Feb/2021,252
15/Feb/2021,514
16/Feb/2021,415
17/Feb/2021,565
18/Feb/2021,553
19/Feb/2021,485
20/Feb/2021,248
21/Feb/2021,320
22/Feb/2021,551
23/Feb/2021,578
24/Feb/2021,569
25/Feb/2021,560
26/Feb/2021,456
27/Feb/2021,243
28/Feb/2021,276
01/Mar/2021,576
02/Mar/2021,553
03/Mar/2021,513
04/Mar/2021,539
05/Mar/2021,461
06/Mar/2021,244
07/Mar/2021,299
08/Mar/2021,537
09/Mar/2021,528
10/Mar/2021,525
11/Mar/2021,553
12/Mar/2021,497
13/Mar/2021,251
14/Mar/2021,291
15/Mar/2021,533
16/Mar/2021,586
17/Mar/2021,521
18/Mar/2021,573
19/Mar/2021,463
20/Mar/2021,264
21/Mar/2021,318
22/Mar/2021,539
23/Mar/2021,553
24/Mar/2021,571
25/Mar/2021,568
26/Mar/2021,477
27/Mar/2021,253
28/Mar/2021,262
29/Mar/2021,499
30/Mar/2021,538
31/Mar/2021,455
01/Apr/2021,250
02/Apr/2021,216
03/Apr/2021,207
