Date,NumCases
23/Mar/2020,39
24/Mar/2020,22
25/Mar/2020,18
26/Mar/2020,19
27/Mar/2020,4
28/Mar/2020,15
29/Mar/2020,27
30/Mar/2020,22
31/Mar/2020,27
01/Apr/2020,29
02/Apr/2020,23
03/Apr/2020,17
04/Apr/2020,19
05/Apr/2020,22
06/Apr/2020,35
07/Apr/2020,30
08/Apr/2020,21
09/Apr/2020,22
10/Apr/2020,22
11/Apr/2020,22
12/Apr/2020,31
13/Apr/2020,37
14/Apr/2020,28
15/Apr/2020,31
16/Apr/2020,26
17/Apr/2020,22
18/Apr/2020,19
19/Apr/2020,26
20/Apr/2020,33
21/Apr/2020,25
22/Apr/2020,23
23/Apr/2020,32
24/Apr/2020,24
25/Apr/2020,21
26/Apr/2020,29
27/Apr/2020,29
28/Apr/2020,28
29/Apr/2020,32
30/Apr/2020,25
01/May/2020,22
02/May/2020,24
03/May/2020,28
04/May/2020,33
05/May/2020,37
06/May/2020,31
07/May/2020,33
08/May/2020,27
09/May/2020,25
10/May/2020,33
11/May/2020,42
12/May/2020,43
13/May/2020,37
14/May/2020,30
15/May/2020,25
16/May/2020,19
17/May/2020,35
18/May/2020,35
19/May/2020,48
20/May/2020,28
21/May/2020,39
22/May/2020,33
23/May/2020,24
24/May/2020,37
25/May/2020,46
26/May/2020,30
27/May/2020,45
28/May/2020,46
29/May/2020,24
30/May/2020,19
31/May/2020,38
01/Jun/2020,38
02/Jun/2020,39
03/Jun/2020,42
04/Jun/2020,36
05/Jun/2020,30
06/Jun/2020,24
07/Jun/2020,35
08/Jun/2020,46
09/Jun/2020,45
10/Jun/2020,36
11/Jun/2020,33
12/Jun/2020,23
13/Jun/2020,24
14/Jun/2020,33
15/Jun/2020,35
16/Jun/2020,43
17/Jun/2020,32
18/Jun/2020,21
19/Jun/2020,27
20/Jun/2020,28
21/Jun/2020,32
22/Jun/2020,42
23/Jun/2020,41
24/Jun/2020,32
25/Jun/2020,41
26/Jun/2020,42
27/Jun/2020,23
28/Jun/2020,20
