Date,NumCases
23/Mar/2020,149
24/Mar/2020,138
25/Mar/2020,131
26/Mar/2020,126
27/Mar/2020,108
28/Mar/2020,110
29/Mar/2020,119
30/Mar/2020,121
31/Mar/2020,111
01/Apr/2020,120
02/Apr/2020,122
03/Apr/2020,116
04/Apr/2020,109
05/Apr/2020,103
06/Apr/2020,110
07/Apr/2020,107
08/Apr/2020,103
09/Apr/2020,98
10/Apr/2020,99
11/Apr/2020,96
12/Apr/2020,99
13/Apr/2020,105
14/Apr/2020,102
15/Apr/2020,115
16/Apr/2020,115
17/Apr/2020,106
18/Apr/2020,102
19/Apr/2020,107
20/Apr/2020,116
21/Apr/2020,124
22/Apr/2020,127
23/Apr/2020,130
24/Apr/2020,130
25/Apr/2020,125
26/Apr/2020,136
27/Apr/2020,134
28/Apr/2020,132
29/Apr/2020,128
30/Apr/2020,126
01/May/2020,122
02/May/2020,126
03/May/2020,143
04/May/2020,141
05/May/2020,150
06/May/2020,146
07/May/2020,138
08/May/2020,140
09/May/2020,125
10/May/2020,140
11/May/2020,141
12/May/2020,143
13/May/2020,142
14/May/2020,139
15/May/2020,151
16/May/2020,148
17/May/2020,155
18/May/2020,164
19/May/2020,158
20/May/2020,166
21/May/2020,175
22/May/2020,157
23/May/2020,165
24/May/2020,184
25/May/2020,179
26/May/2020,175
27/May/2020,180
28/May/2020,182
29/May/2020,179
30/May/2020,155
31/May/2020,154
01/Jun/2020,179
02/Jun/2020,187
03/Jun/2020,183
04/Jun/2020,185
05/Jun/2020,177
06/Jun/2020,169
07/Jun/2020,173
08/Jun/2020,190
09/Jun/2020,184
10/Jun/2020,184
11/Jun/2020,187
12/Jun/2020,183
13/Jun/2020,185
14/Jun/2020,190
15/Jun/2020,213
16/Jun/2020,208
17/Jun/2020,203
18/Jun/2020,195
19/Jun/2020,197
20/Jun/2020,186
21/Jun/2020,193
22/Jun/2020,201
23/Jun/2020,193
24/Jun/2020,196
25/Jun/2020,205
26/Jun/2020,190
27/Jun/2020,180
28/Jun/2020,178
29/Jun/2020,200
30/Jun/2020,206
01/Jul/2020,196
02/Jul/2020,195
03/Jul/2020,190
04/Jul/2020,167
05/Jul/2020,176
06/Jul/2020,198
07/Jul/2020,191
08/Jul/2020,209
